model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
RandomForest,0.8338773460548616,0.01637969478119658,0.8153823814873405,0.022344180777192038,0.7336743393009378,0.049411081850834114,0.7715253019375303,0.029217033740639598
GradientBoosting,0.8338773460548616,0.018204882425805608,0.8145083746898264,0.011475475804773412,0.7337169650468883,0.05035830955190305,0.7714661131280218,0.032980840436430556
DecisionTree,0.8204004770573097,0.029630633864238528,0.786775224057991,0.05761760490350595,0.7364876385336744,0.059416031714606785,0.7586228013821505,0.038316642067130764
LogisticRegression,0.8159123721047015,0.01639166686513756,0.7731714578486761,0.017113908253303705,0.7365728900255755,0.050229472573047634,0.7537214785287499,0.029256697967684053
